dataset,g,k,m,C,iters,acc sample 1,acc sample 2,acc sample 3,acc sample 4,acc sample 5,mean acc,lower acc,upper acc,auc sample 1,auc sample 2,auc sample 3,auc sample 4,auc sample 5,mean auc,lower auc,upper auc,stdev sample 1,stdev sample 2,stdev sample 3,stdev sample 4,stdev sample 5,mean stdev,lower stdev,upper stdev
CTCF,13,6,7,1.0,250,0.915,0.915,0.915,0.9145,0.916,0.9151,0.9144199126193417,0.9157800873806583,0.969698,0.9689779999999999,0.9694909999999999,0.969098,0.969724,0.9693978,0.9689715795931371,0.9698240204068629,0.006315479396967049,0.006535100155841288,0.0066871331523973435,0.00640802450679868,0.006565117775326426,0.006502170997466157,0.006323338036161144,0.0066810039587711706
CTCF,13,6,7,1.0,270,0.914,0.9125,0.9135,0.9135,0.913,0.9133000000000001,0.912592142611509,0.9140078573884912,0.9693740000000001,0.9687699999999999,0.9693039999999999,0.969141,0.969846,0.9692869999999999,0.9688025345938123,0.9697714654061875,0.006251362259460566,0.00599896665008035,0.005989402932261539,0.005737937412979608,0.0060924190802742785,0.006014017667011268,0.00578211222291475,0.006245923111107787
CTCF,13,6,7,1.0,290,0.9145,0.9155,0.913,0.9155,0.913,0.9143000000000001,0.9127417240494748,0.9158582759505254,0.969552,0.969184,0.969492,0.9695569999999999,0.969422,0.9694414,0.96925026116238,0.96963253883762,0.005694944581243888,0.00558451914019379,0.005486542133819462,0.005454229783407596,0.005631034784632229,0.0055702540846593925,0.005446219939048846,0.005694288230269939
CTCF,13,6,7,1.0,310,0.915,0.9135,0.9135,0.916,0.9145,0.9145,0.9131830164503724,0.9158169835496276,0.9692590000000001,0.969596,0.9693799999999999,0.96952,0.969619,0.9694748000000001,0.9692853874230326,0.9696642125769676,0.00599083680128465,0.005273874579051583,0.00521192177858341,0.005178100034845181,0.005126519826624372,0.005356250604077839,0.004910793319354275,0.005801707888801403
CTCF,13,6,7,1.0,330,0.913,0.9155,0.9145,0.914,0.914,0.9141999999999999,0.9130722026668504,0.9153277973331494,0.969354,0.9697800000000001,0.969354,0.969392,0.969876,0.9695512000000001,0.9692340497491095,0.9698683502508906,0.005082990675723967,0.00491990669674213,0.004807882068680904,0.004903868714361196,0.005310203269997844,0.005004970285101208,0.004760110915260884,0.0052498296549415326
CTCF,13,6,7,1.0,350,0.915,0.9135,0.9155,0.914,0.914,0.9144,0.9133798689290126,0.9154201310709874,0.969521,0.9691079999999999,0.9691559999999999,0.969128,0.96947,0.9692765999999999,0.969026575607071,0.9695266243929289,0.004620279103169267,0.004517202689347066,0.004983899952615796,0.004457352776161989,0.004708443687356997,0.004657435641730223,0.00440126452306848,0.0049136067603919665
CTCF,13,6,7,1.0,370,0.913,0.913,0.9165,0.9155,0.9135,0.9143000000000001,0.9123075258038257,0.9162924741961745,0.9695830000000001,0.969782,0.969444,0.969579,0.969435,0.9695646,0.969389938430594,0.969739261569406,0.0043609169871173074,0.004381942806021224,0.004427316707692128,0.004350439110683189,0.004333558396098149,0.004370834801522399,0.00432599082453974,0.004415678778505058
CTCF,13,6,7,1.0,390,0.9155,0.9155,0.9135,0.914,0.914,0.9145,0.9133385296823074,0.9156614703176925,0.9697049999999999,0.9695980000000001,0.9697689999999999,0.969475,0.9695560000000001,0.9696206,0.9694749633458356,0.9697662366541645,0.004394666633370357,0.003970619843055781,0.00406513493036524,0.003982411117275187,0.004150002943877359,0.004112567093588785,0.003897217123420283,0.004327917063757287
CTCF,13,6,7,1.0,410,0.9135,0.913,0.9135,0.9165,0.9145,0.9142000000000001,0.9124661105875378,0.9159338894124625,0.9693860000000001,0.9695239999999998,0.9693510000000001,0.969383,0.9697399999999999,0.9694768,0.9692762310968308,0.9696773689031692,0.004083291686805101,0.0043649840237586475,0.004084337780794613,0.0037652397359588404,0.00408828074519159,0.0040772267945017576,0.0038135743579134525,0.004340879231090063
CTCF,13,6,7,1.0,430,0.9155,0.916,0.914,0.9145,0.913,0.9146000000000001,0.9131177839174668,0.9160822160825334,0.969685,0.9693909999999999,0.9697199999999999,0.9694499999999999,0.969396,0.9695284,0.9693283907065872,0.9697284092934128,0.005392928224216025,0.0036406284917698487,0.0035651453858516055,0.0037363883768443064,0.004029053803746263,0.0040728288564856096,0.003130817722120347,0.005014839990850872
CTCF,13,6,7,1.0,450,0.916,0.9145,0.914,0.9145,0.9145,0.9147000000000001,0.9137584616558259,0.9156415383441743,0.969227,0.9695769999999999,0.969439,0.969432,0.9695589999999998,0.9694467999999998,0.9692732635186325,0.9696203364813671,0.004005397500925541,0.004090372689370355,0.003651561839532488,0.003621447116590115,0.004001455167764517,0.0038740468628366024,0.003600888581194114,0.00414720514447909
CTCF,13,6,7,1.0,470,0.9155,0.9135,0.9145,0.9145,0.915,0.9146000000000001,0.9136791573335041,0.915520842666496,0.969608,0.9696319999999999,0.969584,0.969702,0.9692270000000001,0.9695506,0.9693194076317221,0.969781792368278,0.0035322388370656052,0.0034546535562027907,0.0033062073945688353,0.003423090173306239,0.0034135407219478414,0.0034259461366182623,0.0033246502636025393,0.0035272420096339853
CTCF,13,6,7,1.0,490,0.913,0.914,0.9165,0.9155,0.913,0.9144,0.9124664297272259,0.9163335702727741,0.9691569999999998,0.9693679999999999,0.9693809999999999,0.969563,0.9694189999999999,0.9693776,0.9691967521608176,0.9695584478391823,0.0032801498199242253,0.0032786917702293176,0.00332624285529144,0.003234804098676441,0.003357171185737605,0.003295411945971806,0.0032366766563370563,0.0033541472356065556
CTCF,13,6,7,1.0,500,0.9155,0.915,0.914,0.914,0.9155,0.9148,0.9138584616558257,0.9157415383441742,0.969575,0.96933,0.9697060000000001,0.9694189999999999,0.9696100000000001,0.9695280000000001,0.9693399975550813,0.9697160024449188,0.0032909949815648335,0.0031579181741001384,0.003182519912663111,0.0032293483330609963,0.0031994368291680024,0.0032120436461114165,0.0031484487635391927,0.0032756385286836403
